HH308	540901.60	6601315.19	1050.31
HH309	540916.20	6601315.19	1050.22
HH310	540930.80	6601315.19	1050.25
HH311	540945.40	6601315.19	1050.26
HH312	540960.00	6601315.19	1050.26
HH313	540974.60	6601315.19	1050.28
HH314	540989.20	6601315.19	1050.30
HH315	541003.80	6601315.19	1050.30
HH316	541018.40	6601315.19	1050.30
HH317	541033.00	6601315.19	1050.32
HH318	541047.60	6601315.19	1050.40
HH295	540894.30	6601302.55	1050.35
HH296	540908.90	6601302.55	1050.35
HH297	540923.50	6601302.55	1050.35
HH298	540938.10	6601302.55	1050.35
HH299	540952.70	6601302.55	1050.36
HH300	540967.30	6601302.55	1050.38
HH301	540981.90	6601302.55	1050.40
HH302	540996.50	6601302.55	1050.40
HH303	541011.10	6601302.55	1050.39
HH304	541025.70	6601302.55	1050.41
HH305	541040.30	6601302.55	1050.43
HH319	541062.20	6601306.76	1050.44
HH281	540887.00	6601289.90	1050.44
HH282	540901.60	6601289.90	1050.44
HH283	540916.20	6601289.90	1050.45
HH284	540930.80	6601289.90	1050.45
HH285	540945.40	6601289.90	1050.45
HH286	540960.00	6601289.90	1050.47
HH287	540974.60	6601289.90	1050.49
HH288	540989.20	6601289.90	1050.49
HH289	541003.80	6601289.90	1050.51
HH290	541018.40	6601289.90	1050.50
HH291	541033.00	6601289.90	1050.53
HH306	541054.90	6601294.12	1050.53
HH307	541069.50	6601294.12	1050.54
HH266	540879.70	6601277.26	1050.53
HH267	540894.30	6601277.26	1050.54
HH268	540908.90	6601277.26	1050.55
HH269	540923.50	6601277.26	1050.54
HH270	540938.10	6601277.26	1050.55
HH271	540952.70	6601277.26	1050.56
HH272	540967.30	6601277.26	1050.58
HH273	540981.90	6601277.26	1050.59
HH274	540996.50	6601277.26	1050.61
HH275	541011.10	6601277.26	1050.62
HH276	541025.70	6601277.26	1050.63
HH292	541047.60	6601281.47	1050.64
HH293	541062.20	6601281.47	1050.62
HH294	541076.80	6601281.47	1050.64
HH250	540872.40	6601264.61	1050.65
HH251	540887.00	6601264.61	1050.65
HH252	540901.60	6601264.61	1050.66
HH253	540916.20	6601264.61	1050.65
HH254	540930.80	6601264.61	1050.67
HH255	540945.40	6601264.61	1050.67
HH256	540960.00	6601264.61	1050.69
HH257	540974.60	6601264.61	1050.70
HH258	540989.20	6601264.61	1050.72
HH259	541003.80	6601264.61	1050.74
HH260	541018.40	6601264.61	1050.73
HH277	541040.30	6601268.83	1050.71
HH278	541054.90	6601268.83	1050.81
HH279	541069.50	6601268.83	1050.74
HH280	541084.10	6601268.83	1050.75
HH233	540865.10	6601251.97	1050.76
HH234	540879.70	6601251.97	1050.74
HH235	540894.30	6601251.97	1050.77
HH236	540908.90	6601251.97	1050.77
HH237	540923.50	6601251.97	1050.78
HH238	540938.10	6601251.97	1050.79
HH239	540952.70	6601251.97	1050.80
HH240	540967.30	6601251.97	1050.81
HH241	540981.90	6601251.97	1050.83
HH242	540996.50	6601251.97	1050.84
HH243	541011.10	6601251.97	1050.85
HH261	541033.00	6601256.19	1050.81
HH262	541047.60	6601256.19	1050.83
HH263	541062.20	6601256.19	1050.87
HH264	541076.80	6601256.19	1050.88
HH265	541091.40	6601256.19	1050.88
HH215	540857.80	6601239.33	1050.88
HH216	540872.40	6601239.33	1050.87
HH217	540887.00	6601239.33	1050.87
HH218	540901.60	6601239.33	1050.86
HH219	540916.20	6601239.33	1050.89
HH220	540930.80	6601239.33	1050.89
HH221	540945.40	6601239.33	1050.89
HH222	540960.00	6601239.33	1050.91
HH223	540974.60	6601239.33	1051.07
HH224	540989.20	6601239.33	1050.94
HH225	541003.80	6601239.33	1050.95
HH244	541025.70	6601243.54	1050.92
HH245	541040.30	6601243.54	1050.93
HH246	541054.90	6601243.54	1050.96
HH247	541069.50	6601243.54	1050.96
HH248	541084.10	6601243.54	1050.97
HH249	541098.70	6601243.54	1050.95
HH196	540850.50	6601226.68	1050.99
HH197	540865.10	6601226.68	1050.98
HH198	540879.70	6601226.68	1050.99
HH199	540894.30	6601226.68	1050.99
HH200	540908.90	6601226.68	1051.01
HH201	540923.50	6601226.68	1051.01
HH202	540938.10	6601226.68	1051.01
HH203	540952.70	6601226.68	1051.03
HH204	540967.30	6601226.68	1051.03
HH205	540981.90	6601226.68	1051.06
HH206	540996.50	6601226.68	1051.07
HH226	541018.40	6601230.90	1051.03
HH227	541033.00	6601230.90	1051.04
HH228	541047.60	6601230.90	1051.06
HH229	541062.20	6601230.90	1051.03
HH230	541076.80	6601230.90	1051.07
HH231	541091.40	6601230.90	1051.08
HH232	541106.00	6601230.90	1051.07
HH176	540843.20	6601214.04	1051.09
HH177	540857.80	6601214.04	1051.12
HH178	540872.40	6601214.04	1051.12
HH179	540887.00	6601214.04	1051.11
HH180	540901.60	6601214.04	1051.12
HH181	540916.20	6601214.04	1051.14
HH182	540930.80	6601214.04	1051.15
HH183	540945.40	6601214.04	1051.14
HH184	540960.00	6601214.04	1051.16
HH185	540974.60	6601214.04	1051.16
HH186	540989.20	6601214.04	1051.17
HH207	541011.10	6601218.25	1051.14
HH208	541025.70	6601218.25	1051.13
HH209	541040.30	6601218.25	1051.15
HH210	541054.90	6601218.25	1051.18
HH211	541069.50	6601218.25	1051.15
HH212	541084.10	6601218.25	1051.18
HH213	541098.70	6601218.25	1051.21
HH214	541113.30	6601218.25	1051.21
HH155	540835.90	6601201.40	1051.22
HH156	540850.50	6601201.40	1051.28
HH157	540865.10	6601201.40	1051.24
HH158	540879.70	6601201.40	1051.22
HH159	540894.30	6601201.40	1051.22
HH160	540908.90	6601201.40	1051.25
HH161	540923.50	6601201.40	1051.24
HH162	540938.10	6601201.40	1051.25
HH163	540952.70	6601201.40	1051.24
HH164	540967.30	6601201.40	1051.27
HH165	540981.90	6601201.40	1051.27
HH187	541003.80	6601205.61	1051.27
HH188	541018.40	6601205.61	1051.26
HH189	541033.00	6601205.61	1051.26
HH190	541047.60	6601205.61	1051.29
HH191	541062.20	6601205.61	1051.28
HH192	541076.80	6601205.61	1051.27
HH193	541091.40	6601205.61	1051.31
HH194	541106.00	6601205.61	1051.30
HH195	541120.60	6601205.61	1051.28
HH135	540835.90	6601184.54	1051.37
HH136	540850.50	6601184.54	1051.51
HH137	540865.10	6601184.54	1051.38
HH138	540879.70	6601184.54	1051.38
HH139	540894.30	6601184.54	1051.37
HH140	540908.90	6601184.54	1051.39
HH141	540923.50	6601184.54	1051.39
HH142	540938.10	6601184.54	1051.40
HH143	540952.70	6601184.54	1051.40
HH144	540967.30	6601184.54	1051.42
HH145	540981.90	6601184.54	1051.41
HH166	540996.50	6601192.97	1051.50
HH167	541011.10	6601192.97	1051.36
HH168	541025.70	6601192.97	1051.37
HH169	541040.30	6601192.97	1051.40
HH170	541054.90	6601192.97	1051.41
HH171	541069.50	6601192.97	1051.40
HH172	541084.10	6601192.97	1051.42
HH173	541098.70	6601192.97	1051.39
HH174	541113.30	6601192.97	1051.40
HH175	541127.90	6601192.97	1051.39
HH116	540843.20	6601171.89	1051.69
HH117	540857.80	6601171.89	1051.59
HH118	540872.40	6601171.89	1051.52
HH119	540887.00	6601171.89	1051.51
HH120	540901.60	6601171.89	1051.52
HH121	540916.20	6601171.89	1051.52
HH122	540930.80	6601171.89	1051.54
HH123	540945.40	6601171.89	1051.56
HH124	540960.00	6601171.89	1051.56
HH125	540974.60	6601171.89	1051.56
HH126	540989.20	6601171.89	1051.55
HH146	541003.80	6601180.32	1051.68
HH147	541018.40	6601180.32	1051.50
HH148	541033.00	6601180.32	1051.50
HH149	541047.60	6601180.32	1051.56
HH150	541062.20	6601180.32	1051.53
HH151	541076.80	6601180.32	1051.51
HH152	541091.40	6601180.32	1051.53
HH153	541106.00	6601180.32	1051.54
HH154	541120.60	6601180.32	1051.50
HH98	540850.50	6601159.25	1051.81
HH99	540865.10	6601159.25	1051.64
HH100	540879.70	6601159.25	1051.63
HH101	540894.30	6601159.25	1051.62
HH102	540908.90	6601159.25	1051.63
HH103	540923.50	6601159.25	1051.63
HH104	540938.10	6601159.25	1051.65
HH105	540952.70	6601159.25	1051.78
HH106	540967.30	6601159.25	1051.73
HH107	540981.90	6601159.25	1051.71
HH108	540996.50	6601159.25	1051.68
HH127	541011.10	6601167.68	1051.61
HH128	541025.70	6601167.68	1051.61
HH129	541040.30	6601167.68	1051.64
HH130	541054.90	6601167.68	1051.65
HH131	541069.50	6601167.68	1051.64
HH132	541084.10	6601167.68	1051.65
HH133	541098.70	6601167.68	1051.68
HH134	541113.30	6601167.68	1051.62
HH81	540857.80	6601146.60	1051.89
HH82	540872.40	6601146.60	1051.81
HH83	540887.00	6601146.60	1051.78
HH84	540901.60	6601146.60	1051.78
HH85	540916.20	6601146.60	1051.77
HH86	540930.80	6601146.60	1051.77
HH87	540945.40	6601146.60	1051.79
HH88	540960.00	6601146.60	1051.86
HH89	540974.60	6601146.60	1051.82
HH90	540989.20	6601146.60	1051.79
HH91	541003.80	6601146.60	1051.80
HH109	541018.40	6601155.03	1051.74
HH110	541033.00	6601155.03	1051.76
HH111	541047.60	6601155.03	1051.80
HH112	541062.20	6601155.03	1051.75
HH113	541076.80	6601155.03	1051.75
HH114	541091.40	6601155.03	1051.76
HH115	541106.00	6601155.03	1051.81
HH65	540865.10	6601133.96	1051.93
HH66	540879.70	6601133.96	1051.92
HH67	540894.30	6601133.96	1051.90
HH68	540908.90	6601133.96	1051.87
HH69	540923.50	6601133.96	1051.89
HH70	540938.10	6601133.96	1051.92
HH71	540952.70	6601133.96	1052.03
HH72	540967.30	6601133.96	1051.99
HH73	540981.90	6601133.96	1052.00
HH74	540996.50	6601133.96	1051.93
HH75	541011.10	6601133.96	1052.04
HH92	541025.70	6601142.39	1051.89
HH93	541040.30	6601142.39	1051.88
HH94	541054.90	6601142.39	1052.06
HH95	541069.50	6601142.39	1051.94
HH96	541084.10	6601142.39	1051.89
HH97	541098.70	6601142.39	1051.86
HH50	540872.40	6601121.32	1052.02
HH51	540887.00	6601121.32	1052.03
HH52	540901.60	6601121.32	1052.07
HH53	540916.20	6601121.32	1052.08
HH54	540930.80	6601121.32	1052.08
HH55	540945.40	6601121.32	1052.05
HH56	540960.00	6601121.32	1052.06
HH57	540974.60	6601121.32	1052.07
HH58	540989.20	6601121.32	1052.04
HH59	541003.80	6601121.32	1052.04
HH60	541018.40	6601121.32	1052.05
HH76	541033.00	6601129.75	1051.97
HH77	541047.60	6601129.75	1051.99
HH78	541062.20	6601129.75	1051.97
HH79	541076.80	6601129.75	1051.96
HH80	541091.40	6601129.75	1051.98
HH36	540879.70	6601108.67	1052.17
HH37	540894.30	6601108.67	1052.29
HH38	540908.90	6601108.67	1052.26
HH39	540923.50	6601108.67	1052.21
HH40	540938.10	6601108.67	1052.25
HH41	540952.70	6601108.67	1052.18
HH42	540967.30	6601108.67	1052.17
HH43	540981.90	6601108.67	1052.16
HH44	540996.50	6601108.67	1052.18
HH45	541011.10	6601108.67	1052.19
HH46	541025.70	6601108.67	1052.25
HH61	541040.30	6601117.10	1052.10
HH62	541054.90	6601117.10	1052.09
HH63	541069.50	6601117.10	1052.08
HH64	541084.10	6601117.10	1052.08
HH23	540887.00	6601096.03	1052.36
HH24	540901.60	6601096.03	1052.38
HH25	540916.20	6601096.03	1052.43
HH26	540930.80	6601096.03	1052.34
HH27	540945.40	6601096.03	1052.42
HH28	540960.00	6601096.03	1052.31
HH29	540974.60	6601096.03	1052.28
HH30	540989.20	6601096.03	1052.27
HH31	541003.80	6601096.03	1052.40
HH32	541018.40	6601096.03	1052.28
HH33	541033.00	6601096.03	1052.31
HH47	541047.60	6601104.46	1052.18
HH48	541062.20	6601104.46	1052.21
HH49	541076.80	6601104.46	1052.19
HH11	540894.30	6601083.38	1052.50
HH12	540908.90	6601083.38	1052.42
HH13	540923.50	6601083.38	1052.39
HH14	540938.10	6601083.38	1052.47
HH15	540952.70	6601083.38	1052.41
HH16	540967.30	6601083.38	1052.41
HH17	540981.90	6601083.38	1052.40
HH18	540996.50	6601083.38	1052.41
HH19	541011.10	6601083.38	1052.41
HH20	541025.70	6601083.38	1052.43
HH21	541040.30	6601083.38	1052.45
HH34	541054.90	6601091.81	1052.33
HH35	541069.50	6601091.81	1052.32
HH0	540901.60	6601070.74	1052.61
HH1	540916.20	6601070.74	1052.61
HH2	540930.80	6601070.74	1052.66
HH3	540945.40	6601070.74	1052.54
HH4	540960.00	6601070.74	1052.53
HH5	540974.60	6601070.74	1052.53
HH6	540989.20	6601070.74	1052.53
HH7	541003.80	6601070.74	1052.51
HH8	541018.40	6601070.74	1052.64
HH9	541033.00	6601070.74	1052.52
HH10	541047.60	6601070.74	1052.61
HH22	541062.20	6601079.17	1052.45
HA320	540762.90	6601530.14	1048.22
HA321	540908.90	6601530.14	1048.44
HA322	541054.90	6601530.14	1048.79
HA323	541200.90	6601530.14	1049.28
HA324	540689.90	6601412.13	1049.05
HA325	540835.90	6601403.70	1049.38
HA326	540981.90	6601403.70	1049.54
HA327	541127.90	6601403.70	1049.86
HA328	541273.90	6601403.70	1050.33
HA329	540616.90	6601285.69	1050.21
HA330	540762.90	6601285.69	1050.38
HA331	541200.90	6601277.26	1050.96
HA332	541346.90	6601277.26	1051.45
HA333	540543.90	6601159.25	1051.37
HA334	540689.90	6601159.25	1051.58
HB335	541273.90	6601167.68	1051.93
HB336	541419.90	6601167.68	1052.46
HB337	540616.90	6601032.81	1053.22
HB338	540762.90	6601032.81	1053.08
HB339	541200.90	6601041.24	1052.62
HB340	541346.90	6601041.24	1053.12
HB341	540689.90	6600906.37	1054.56
HB342	540835.90	6600906.37	1054.50
HB343	540981.90	6600914.80	1054.07
HB344	541127.90	6600914.80	1053.90
HB345	541273.90	6600914.80	1053.65
HB346	540762.90	6600779.93	1056.13
HB347	540908.90	6600788.36	1055.37
HB348	541054.90	6600788.36	1055.08
HB349	541200.90	6600788.36	1055.08
